Symptom,Medicine_Name,Medicine_Type,Common_Side_Effects,Prescription_Required
Vomiting,Stemetil,Injection,None,Yes
Constipation,Duphalac,Lozenge,Nausea,No
Pain,Ketorolac,Syrup,Dizziness,No
Infection,Ciprofloxacin,Tablet,Stomach upset,No
Flu,Flutab,Syrup,Drowsiness,Yes
Diarrhea,Imodium,Tablet,Dizziness,Yes
Diarrhea,Econorm,Cream,Metallic taste,Yes
Allergy,Cetrizine,Capsule,Nausea,No
Allergy,Loratadine,Capsule,Nausea,Yes
Cough,Benylin,Tablet,Nausea,No
High Blood Pressure,Losartan,Injection,Minor irritation,No
Fever,Disprol,Cream,Nausea,No
Skin Rash,Betnovate,Syrup,None,No
Sore Throat,Strepsils,Capsule,Minor irritation,Yes
Nausea,Domperidone,Tablet,None,Yes
Headache,Synflex,Tablet,None,No
Allergy,Benadryl,Syrup,Drowsiness,No
High Blood Pressure,Lisinopril,Tablet,Nausea,Yes
Skin Rash,Betnovate,Injection,Dizziness,No
Infection,Augmentin,Tablet,Drowsiness,No
Vomiting,Domperidone,Syrup,Dizziness,No
Sore Throat,Strepsils,Cream,Nausea,Yes
Back Pain,Nuberol Forte,Syrup,Stomach upset,No
Vomiting,Zofran,Capsule,Nausea,No
Flu,Contac,Cream,Drowsiness,Yes
Acidity,Omeprazole,Cream,Nausea,No
Flu,Contac,Tablet,Drowsiness,Yes
Cough,Benylin,Syrup,Metallic taste,No
Skin Rash,Betnovate,Tablet,Drowsiness,Yes
Skin Rash,Fucidin,Capsule,Nausea,No
Sore Throat,Cepacol,Capsule,Minor irritation,No
Back Pain,Ibuprofen,Injection,Stomach upset,No
Flu,Flutab,Tablet,Metallic taste,No
Sore Throat,Lemzinc,Injection,None,Yes
Infection,Ciprofloxacin,Capsule,Drowsiness,No
Infection,Augmentin,Lozenge,None,No
Pain,Brufen,Capsule,Drowsiness,No
Nausea,Emetrol,Lozenge,Metallic taste,No
Sore Throat,Cepacol,Injection,Nausea,Yes
Cough,Corex,Lozenge,None,No
Diarrhea,Econorm,Tablet,Nausea,Yes
Constipation,Duphalac,Lozenge,Nausea,No
Cold,NeoCitran,Cream,Drowsiness,No
Cough,Benylin,Cream,None,Yes
Cough,Corex,Syrup,Dizziness,No
Joint Pain,Arcoxia,Lozenge,None,No
High Blood Pressure,Lisinopril,Tablet,Minor irritation,Yes
Skin Rash,Betnovate,Injection,Nausea,Yes
Sore Throat,Lemzinc,Injection,Minor irritation,Yes
Infection,Augmentin,Lozenge,Drowsiness,Yes
Headache,Synflex,Lozenge,Drowsiness,Yes
Allergy,Cetrizine,Lozenge,Minor irritation,No
Flu,Contac,Cream,Stomach upset,Yes
Headache,Synflex,Injection,Minor irritation,Yes
Back Pain,Orudis,Injection,None,Yes
Flu,Flutab,Syrup,Dizziness,Yes
Acidity,Omeprazole,Syrup,Minor irritation,Yes
Acidity,Omeprazole,Tablet,Drowsiness,Yes
Vomiting,Domperidone,Syrup,Stomach upset,No
Skin Rash,Betnovate,Lozenge,Drowsiness,Yes
Pain,Ketorolac,Lozenge,Dizziness,No
High Blood Pressure,Losartan,Tablet,Minor irritation,Yes
Fever,Calpol,Cream,Stomach upset,No
Skin Rash,Hydrocortisone,Injection,None,No
Acidity,Gaviscon,Cream,Stomach upset,No
Joint Pain,Arcoxia,Cream,Nausea,No
Constipation,Duphalac,Tablet,Minor irritation,No
Back Pain,Nuberol Forte,Lozenge,Drowsiness,No
Allergy,Benadryl,Syrup,Stomach upset,Yes
Infection,Amoxicillin,Tablet,Dizziness,No
